PLZ;Kanton;Gemeinden
1727;Freiburg;Gibloux
1728;Freiburg;Gibloux
1730;Freiburg;Hauterive (FR)
1731;Freiburg;Ependes (FR)
1732;Freiburg;Arconciel
1733;Freiburg;Treyvaux
1734;Freiburg;Tentlingen
1735;Freiburg;Giffers
1736;Freiburg;St. Silvester
1737;Freiburg;Plasselb
1738;Bern;Guggisberg
1740;Freiburg;Neyruz (FR)
1741;Freiburg;Cottens (FR)
1742;Freiburg;Autigny
1744;Freiburg;Chénens
1745;Freiburg;La Brillaz
1746;Freiburg;Prez-vers-Noréaz
1747;Freiburg;Corserey
1748;Freiburg;Torny
1749;Freiburg;Torny
1752;Freiburg;Villars-sur-Glâne
1753;Freiburg;Matran
1754;Freiburg;Avry
1756;Freiburg;La Brillaz
1757;Freiburg;Noréaz
1762;Freiburg;Givisiez
1763;Freiburg;Granges-Paccot
1772;Freiburg;Grolley, Ponthaux
1773;Freiburg;Belmont-Broye
1774;Freiburg;Montagny (FR)
1775;Freiburg;Montagny (FR)
1776;Freiburg;Montagny (FR)
1782;Freiburg;Belfaux, La Sonnaz
1783;Freiburg;Barberęche
1784;Freiburg;Courtepin, Wallenried
1785;Freiburg;Cressier (FR)
1786;Freiburg;Mont-Vully
1787;Freiburg;Mont-Vully, Vully-les-Lacs
1788;Freiburg;Mont-Vully
1789;Freiburg;Mont-Vully
1791;Freiburg;Courtepin
1792;Freiburg;Gurmels
1793;Freiburg;Murten
1794;Freiburg;Murten
1795;Freiburg;Murten
1796;Freiburg;Courgevaux
1797;Bern;Münchenwiler
1800;Waadt;Vevey
1801;Waadt;Chardonne
1802;Waadt;Corseaux
1803;Waadt;Chardonne
1804;Waadt;Corsier-sur-Vevey
1805;Waadt;Jongny
1806;Waadt;Saint-Légier-La Chiésaz
1807;Waadt;Blonay
1808;Waadt;Corsier-sur-Vevey
1809;Waadt;Corsier-sur-Vevey
1814;Waadt;La Tour-de-Peilz
1815;Waadt;Montreux
1816;Waadt;Montreux
1817;Waadt;Montreux
1820;Waadt;Montreux, Veytaux
1822;Waadt;Montreux
1823;Waadt;Montreux
1824;Waadt;Montreux
1832;Waadt;Montreux
1833;Waadt;Montreux
1844;Waadt;Villeneuve (VD)
1845;Waadt;Noville
1846;Waadt;Chessel
1847;Waadt;Rennaz
1852;Waadt;Roche (VD)
1853;Waadt;Yvorne
1854;Waadt;Leysin
1856;Waadt;Corbeyrier
1860;Waadt;Aigle
1862;Waadt;Ormont-Dessous
1863;Waadt;Ormont-Dessous
1864;Waadt;Ormont-Dessus
1865;Waadt;Ormont-Dessus
1866;Waadt;Ormont-Dessous
1867;Waadt;Ollon
1868;Wallis;Collombey-Muraz
1869;Wallis;Massongex
1870;Wallis;Monthey
1871;Wallis;Monthey
1872;Wallis;Troistorrents
1873;Wallis;Val-d'Illiez
1874;Wallis;Champéry
1875;Wallis;Troistorrents
1880;Waadt;Bex
1882;Waadt;Gryon
1884;Waadt;Ollon
1885;Waadt;Ollon
1890;Wallis;Saint-Maurice
1891;Wallis;Vérossaz
1892;Waadt;Lavey-Morcles
1893;Wallis;Collombey-Muraz
1895;Wallis;Vionnaz
1896;Wallis;Vouvry
1897;Wallis;Port-Valais
1898;Wallis;Saint-Gingolph
1899;Wallis;Vionnaz
1902;Wallis;Evionnaz
1903;Wallis;Collonges
1904;Wallis;Vernayaz
1905;Wallis;Dorénaz
1906;Wallis;Charrat
1907;Wallis;Saxon
1908;Wallis;Riddes
1911;Wallis;Chamoson, Leytron
1912;Wallis;Leytron
1913;Wallis;Saillon
1914;Wallis;Riddes, Isérables
1918;Wallis;Riddes
1920;Wallis;Martigny
1921;Wallis;Martigny-Combe
1922;Wallis;Salvan
1923;Wallis;Salvan
1925;Wallis;Finhaut
1926;Wallis;Fully
1927;Wallis;Vollčges
1928;Wallis;Martigny-Combe
1929;Wallis;Trient
1932;Wallis;Bovernier
1933;Wallis;Sembrancher, Vollčges
1934;Wallis;Bagnes
1936;Wallis;Bagnes
1937;Wallis;Orsičres
1938;Wallis;Orsičres
1941;Wallis;Vollčges
1942;Wallis;Vollčges
1943;Wallis;Orsičres
1944;Wallis;Orsičres
1945;Wallis;Liddes
1946;Wallis;Bourg-Saint-Pierre
1947;Wallis;Bagnes
1948;Wallis;Bagnes
1950;Wallis;Sion
1955;Wallis;Chamoson
1957;Wallis;Ardon
1958;Wallis;Saint-Léonard, Sion
1961;Wallis;Mont-Noble
1962;Wallis;Sion
1963;Wallis;Vétroz
1964;Wallis;Conthey
1965;Wallis;Savičse
1966;Wallis;Ayent
1967;Wallis;Sion
1968;Wallis;Mont-Noble
1969;Wallis;Saint-Martin (VS)
1971;Wallis;Grimisuat
1972;Wallis;Ayent
1973;Wallis;Mont-Noble
1974;Wallis;Arbaz
1975;Wallis;Conthey
1976;Wallis;Conthey
1977;Wallis;Icogne
1978;Wallis;Lens
1981;Wallis;Vex
1982;Wallis;Hérémence
1983;Wallis;Evolčne
1984;Wallis;Evolčne
1985;Wallis;Evolčne
1986;Wallis;Evolčne
1987;Wallis;Hérémence
1988;Wallis;Vex
1991;Wallis;Sion
1992;Wallis;Les Agettes
1993;Wallis;Nendaz, Veysonnaz
1994;Wallis;Nendaz
1996;Wallis;Nendaz
1997;Wallis;Nendaz
2000;Neuenburg;Neuchâtel
2012;Neuenburg;Milvignes
2013;Neuenburg;Milvignes
2014;Neuenburg;Milvignes
2015;Neuenburg;Boudry
2016;Neuenburg;Cortaillod
2017;Neuenburg;Boudry
2019;Neuenburg;Rochefort
2022;Neuenburg;Bevaix
2023;Neuenburg;Gorgier
2024;Neuenburg;Saint-Aubin-Sauges
2025;Neuenburg;Gorgier
2027;Neuenburg;Fresens, Montalchez
2028;Neuenburg;Vaumarcus
2034;Neuenburg;Peseux
2035;Neuenburg;Corcelles-Cormondrčche
2036;Neuenburg;Corcelles-Cormondrčche
2037;Neuenburg;Rochefort, Val-de-Ruz
2042;Neuenburg;Valangin
2043;Neuenburg;Val-de-Ruz
2046;Neuenburg;Val-de-Ruz
2052;Neuenburg;Val-de-Ruz
2053;Neuenburg;Val-de-Ruz
2054;Neuenburg;Val-de-Ruz
2056;Neuenburg;Val-de-Ruz
2057;Neuenburg;Val-de-Ruz
2058;Neuenburg;Val-de-Ruz
2063;Neuenburg;Val-de-Ruz
2065;Neuenburg;Val-de-Ruz
2067;Neuenburg;Neuchâtel
2068;Neuenburg;Hauterive (NE)
2072;Neuenburg;Saint-Blaise
2073;Neuenburg;Enges
2074;Neuenburg;La Tčne
2075;Neuenburg;La Tčne
2087;Neuenburg;Cornaux
